PAGE HITS,USER-AGENT-STRING,DEVICE TYPE,DEVICE MAKER,DEVICE MODEL,DEVICE MODEL VERSION,OS,OS VERSION,OS MAKER,BROWSER,BROWSER VERSION,APPLICATION,APPLICATION VERSION,LANGUAGE CODE,COUNTRY CODE,UNKNOWN PROPERTIES
12149,"Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-NZ) Sunday Times/223",Tablet,Apple,iPad,iPad,iOS,6.0,Apple Inc.,Mozilla,Unknown,Sunday Times,223,en,NZ,1
12148,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; yie8)",Computer,Unknown,Computer,Unknown,WINDOWS,7,Microsoft Corporation,Internet Explorer,9.0,Unknown,Unknown,Unknown,Unknown,6
12143,"Mozilla/5.0 (Linux; U; Android 2.3.3; en-gb; GT-I9100 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1",Smartphone,Unknown,GT-I9100,Unknown,ANDROID,2.3.3,Google Inc.,Safari,4.0,Unknown,Unknown,en,gb,4
12108,"Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)",Computer,Unknown,Computer,Unknown,WINDOWS,XP,Microsoft Corporation,Internet Explorer,7.0,Unknown,Unknown,Unknown,Unknown,6
12086,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_0_1 like Mac OS X; nl-NL) iPadTimesAnvil/2.7",Tablet,Apple,iPad,iPad,iOS,5.0.1,Apple Inc.,Mozilla,Unknown,iPadTimesAnvil,2.7,nl,NL,1
12063,"Mozilla/5.0 (Linux; U; Android 2.3.3; fr-fr; GT-I9100 Build/GINGERBREAD) Times/1.3.0",Smartphone,Unknown,GT-I9100,Unknown,ANDROID,2.3.3,Google Inc.,Mozilla,Unknown,Times,1.3.0,fr,fr,3
12033,"Mozilla/5.0 (Linux; U; Android 2.3.4; en-nz; GT-I9100P Build/GINGERBREAD) Times/1.3.0",Smartphone,Unknown,GT-I9100P,Unknown,ANDROID,2.3.4,Google Inc.,Mozilla,Unknown,Times,1.3.0,en,nz,3
12025,"Mozilla/5.0 (Linux; U; Android 2.3.3; en-gb; GT-I9100 Build/GINGERBREAD) Times/1.2.3",Smartphone,Unknown,GT-I9100,Unknown,ANDROID,2.3.3,Google Inc.,Mozilla,Unknown,Times,1.2.3,en,gb,3
11946,"Mozilla/5.0 (iPod touch; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) Times/1.2.1",Smartphone,Apple,iPod touch,iPod touch,iOS,5.1.1,Apple Inc.,Mozilla,Unknown,Times,1.2.1,en,GB,1
11941,"Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_5 like Mac OS X; en-US) iPadTimes/2.4",Tablet,Apple,iPad,iPad,iOS,4.3.5,Apple Inc.,Mozilla,Unknown,iPadTimes,2.4,en,US,1
11900,"Mozilla/5.0 (Linux; U; Android 2.2; en-gb; GT-I9000 Build/FROYO) Times/1.2.3",Smartphone,Unknown,GT-I9000,Unknown,ANDROID,2.2,Google Inc.,Mozilla,Unknown,Times,1.2.3,en,gb,3
11878,"Mozilla/5.0 (Linux; U; Android 4.0.4; en-gb; HTC Incredible S Build/IMM76D) Times/1.3.0",Smartphone,HTC,Incredible S,Unknown,ANDROID,4.0.4,Google Inc.,Mozilla,Unknown,Times,1.3.0,en,gb,2
11853,"Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1 like Mac OS X; en-SG) iPadTimesAnvil/2.8.1",Tablet,Apple,iPad,iPad,iOS,5.1,Apple Inc.,Mozilla,Unknown,iPadTimesAnvil,2.8.1,en,SG,1
11851,"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)",Computer,Unknown,Computer,Unknown,WINDOWS,XP,Microsoft Corporation,Internet Explorer,6.0,Unknown,Unknown,Unknown,Unknown,6
11780,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_1_1 like Mac OS X; de-DE) Times/1.3.2",Smartphone,Apple,iPhone,iPhone,iOS,5.1.1,Apple Inc.,Mozilla,Unknown,Times,1.3.2,de,DE,1
