PAGE HITS,USER-AGENT-STRING,DEVICE TYPE,DEVICE MAKER,DEVICE MODEL,DEVICE MODEL VERSION,OS,OS VERSION,BROWSER,BROWSER VERSION,UNKNOWN PROPERTIES
12312,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_0_1 like Mac OS X; en-NG) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.0.1,Mozilla,Unknown,1
12276,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.5; rv:15.0) Gecko/20100101 Firefox/15.0,Computer,Apple,Unknown,Unknown,Mac OS X,10.5,Firefox,15.0,2
12270,Mozilla/5.0 (Windows NT 6.1; rv:16.0) Gecko/20100101 Firefox/16.0,Computer,Unknown,Unknown,Unknown,Windows,7,Firefox,16.0,3
12270,Mozilla/5.0 (Linux; U; Android 2.3.6; en-gb; GT-I8150 Build/GINGERBREAD) Times/1.3.0,Mobile,Unknown,GT-I8150,Unknown,Android,2.3.6,Mozilla,Unknown,3
12255,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-ZW) iPadTimesAnvil/2.8.1,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
12248,Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_4 like Mac OS X; en-GB) iPadTimes/2.4,Mobile,Apple,iPad,iPad,iOS,4.3.4,Mozilla,Unknown,1
12209,Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; cs-CZ) iPadTimesAnvil/2.8.1,Tablet,Apple,iPad,iPad,iOS,6.0,Mozilla,Unknown,1
12177,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; InfoPath.2; .NET CLR 3.0.04506.30; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E),Computer,Unknown,Unknown,Unknown,Windows,XP,Internet Explorer,7.0,3
12149,Mozilla/5.0 (iPad; U; CPU iPhone OS 6_0 like Mac OS X; en-NZ) Sunday Times/223,Tablet,Apple,iPad,iPad,iOS,6.0,Mozilla,Unknown,1
12148,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; yie8),Computer,Unknown,Unknown,Unknown,Windows,7,Internet Explorer,9.0,3
12143,Mozilla/5.0 (Linux; U; Android 2.3.3; en-gb; GT-I9100 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML like Gecko) Version/4.0 Mobile Safari/533.1,Mobile,Unknown,GT-I9100,Unknown,Android,2.3.3,Safari,4.0,2
12108,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729),Computer,Unknown,Unknown,Unknown,Windows,XP,Internet Explorer,7.0,3
12086,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_0_1 like Mac OS X; nl-NL) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.0.1,Mozilla,Unknown,1
12063,Mozilla/5.0 (Linux; U; Android 2.3.3; fr-fr; GT-I9100 Build/GINGERBREAD) Times/1.3.0,Mobile,Unknown,GT-I9100,Unknown,Android,2.3.3,Mozilla,Unknown,3
12033,Mozilla/5.0 (Linux; U; Android 2.3.4; en-nz; GT-I9100P Build/GINGERBREAD) Times/1.3.0,Mobile,Unknown,GT-I9100P,Unknown,Android,2.3.4,Mozilla,Unknown,3
12025,Mozilla/5.0 (Linux; U; Android 2.3.3; en-gb; GT-I9100 Build/GINGERBREAD) Times/1.2.3,Mobile,Unknown,GT-I9100,Unknown,Android,2.3.3,Mozilla,Unknown,3
11946,Mozilla/5.0 (iPod touch; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) Times/1.2.1,Mobile,Apple,iPod touch,iPod touch,iOS,5.1.1,Mozilla,Unknown,1
11941,Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_5 like Mac OS X; en-US) iPadTimes/2.4,Mobile,Apple,iPad,iPad,iOS,4.3.5,Mozilla,Unknown,1
11900,Mozilla/5.0 (Linux; U; Android 2.2; en-gb; GT-I9000 Build/FROYO) Times/1.2.3,Mobile,Unknown,GT-I9000,Unknown,Android,2.2,Mozilla,Unknown,3
11878,Mozilla/5.0 (Linux; U; Android 4.0.4; en-gb; HTC Incredible S Build/IMM76D) Times/1.3.0,Mobile,HTC,Incredible S,Unknown,Android,4.0.4,Mozilla,Unknown,2
11853,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1 like Mac OS X; en-SG) iPadTimesAnvil/2.8.1,Mobile,Apple,iPad,iPad,iOS,5.1,Mozilla,Unknown,1
11851,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1),Computer,Unknown,Unknown,Unknown,Windows,XP,Internet Explorer,6.0,3
11780,Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_1_1 like Mac OS X; de-DE) Times/1.3.2,Mobile,Apple,iPhone,iPhone,iOS,5.1.1,Mozilla,Unknown,1
11774,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Win64; x64; Trident/5.0),Computer,Unknown,Unknown,Unknown,Windows,Vista,Internet Explorer,9.0,3
11748,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_0_1 like Mac OS X; ro-RO) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.0.1,Mozilla,Unknown,1
11741,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; ms-BN) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
11727,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-VI) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
11711,Mozilla/4.0 (compatible; MSIE 6.0; GomezAgent 2.0; Windows NT),Computer,Unknown,Unknown,Unknown,Windows,2.0,Internet Explorer,6.0,3
11681,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1_1 like Mac OS X; en-GB) Times/1.2.1,Mobile,Apple,iPad,iPad,iOS,5.1.1,Mozilla,Unknown,1
11657,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1 like Mac OS X; zh-CN) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.1,Mozilla,Unknown,1
11647,Mozilla/5.0 (Linux; U; Android 2.3.5; en-gb; GT-I9100P Build/GINGERBREAD) Times/1.2.3,Mobile,Unknown,GT-I9100P,Unknown,Android,2.3.5,Mozilla,Unknown,3
11646,Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_1 like Mac OS X; en-US) Times of London/1.3,Mobile,Apple,iPhone,iPhone,iOS,5.1,Mozilla,Unknown,1
11634,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MS-RTC LM 8; .NET4.0C; .NET4.0E),Computer,Unknown,Unknown,Unknown,Windows,XP,Internet Explorer,8.0,3
11596,Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_1_1 like Mac OS X; en-NZ) Times of London/1.3.2,Mobile,Apple,iPhone,iPhone,iOS,5.1.1,Mozilla,Unknown,1
11580,Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_3 like Mac OS X; en-HK) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,4.3.3,Mozilla,Unknown,1
11503,Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_1_1 like Mac OS X; en-NZ) Times of London/1.3,Mobile,Apple,iPhone,iPhone,iOS,5.1.1,Mozilla,Unknown,1
11489,Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_5 like Mac OS X; en-NA) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,4.3.5,Mozilla,Unknown,1
11459,Mozilla/5.0 (iPad; U; CPU iPhone OS 5_1 like Mac OS X; fr-BE) iPadTimesAnvil/2.7,Mobile,Apple,iPad,iPad,iOS,5.1,Mozilla,Unknown,1
